

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
437.851  000.171  000.171: require('nvim-autopairs.conds')
437.871  000.285  000.115: require('nvim-autopairs.rule')
437.875  000.461  000.175: require('nvim-autopairs.rules.basic')
437.969  001.740  001.009: require('nvim-autopairs')
438.711  000.272  000.272: require('nvim-autopairs.fastwrap')
439.428  000.114  000.114: require('nvim-autopairs.ts-conds')
439.436  000.353  000.238: require('nvim-autopairs.rules.ts_basic')
439.623  000.184  000.184: require('vim.treesitter.highlighter')
441.736  000.171  000.171: require('nvim-autopairs.completion.handlers')
441.751  000.316  000.146: require('nvim-autopairs.completion.cmp')
441.875  000.103  000.103: require('leap')
441.963  000.085  000.085: require('leap.user')
444.045  001.177  001.177: require('catppuccin.lib.hashing')
449.012  000.566  000.566: require('telescope._extensions.projects')
451.041  001.559  001.559: require('fzf_lib')
451.066  002.032  000.474: require('telescope._extensions.fzf')
451.942  000.847  000.847: require('mason')
452.490  000.322  000.322: require('mason.api.command')
452.675  000.131  000.131: require('dap.log')
457.225  001.357  001.357: require('nvim-tree.notify')
457.247  001.529  000.172: require('nvim-tree.events')
458.257  000.169  000.169: require('nvim-tree.log')
458.820  000.282  000.282: require('nvim-tree.iterators.node-iterator')
458.923  000.650  000.368: require('nvim-tree.utils')
459.419  000.491  000.491: require('nvim-tree.git.utils')
459.583  000.158  000.158: require('nvim-tree.git.runner')
460.382  000.795  000.795: require('nvim-tree.watcher')
460.407  002.491  000.227: require('nvim-tree.git')
460.642  000.231  000.231: require('nvim-tree.explorer.watch')
460.753  000.102  000.102: require('nvim-tree.explorer.common')
461.083  000.118  000.118: require('nvim-tree.explorer.node-builders')
461.180  000.092  000.092: require('nvim-tree.explorer.sorters')
461.266  000.082  000.082: require('nvim-tree.explorer.filters')
461.736  000.279  000.279: require('nvim-tree.view')
461.767  000.498  000.219: require('nvim-tree.live-filter')
461.772  001.015  000.225: require('nvim-tree.explorer.explore')
461.910  000.135  000.135: require('nvim-tree.explorer.reload')
461.920  004.669  000.694: require('nvim-tree.explorer')
461.926  006.786  000.588: require('nvim-tree.core')
462.081  000.151  000.151: require('nvim-tree.diagnostics')
462.187  000.101  000.101: require('nvim-tree.renderer.components.padding')
462.280  000.089  000.089: require('nvim-tree.renderer.components.icons')
462.386  000.103  000.103: require('nvim-tree.renderer.components.full-name')
462.555  000.166  000.166: require('nvim-tree.renderer.help')
462.683  000.124  000.124: require('nvim-tree.renderer.components.git')
462.807  000.120  000.120: require('nvim-tree.renderer.builder')
463.299  000.488  000.488: require('nvim-tree.marks')
463.324  009.114  000.985: require('nvim-tree.renderer')
463.638  000.301  000.301: require('nvim-tree.actions.tree-modifiers.collapse-all')
463.735  000.092  000.092: require('nvim-tree.actions.root.dir-up')
463.897  000.158  000.158: require('nvim-tree.actions.root.change-dir')
464.035  000.133  000.133: require('nvim-tree.actions.reloaders.reloaders')
464.144  000.105  000.105: require('nvim-tree.actions.finders.find-file')
464.149  010.569  000.667: require('nvim-tree.lib')
464.274  000.121  000.121: require('nvim-tree.colors')
464.425  000.146  000.146: require('nvim-tree.legacy')
464.636  000.207  000.207: require('nvim-tree.actions.fs.copy-paste')
464.843  000.086  000.086: require('nvim-tree.actions.tree-modifiers.expand-all')
